"Key","Series","Value"
"2020-11-15","XA.CAN.03.03.3008.01.002",3326
"2020-11-16","XA.CAN.03.03.3008.01.002",3330
"2020-11-17","XA.CAN.03.03.3008.01.002",3326
"2020-11-18","XA.CAN.03.03.3008.01.002",3313
"2020-11-19","XA.CAN.03.03.3008.01.002",3313
"2020-11-20","XA.CAN.03.03.3008.01.002",3332
"2020-11-21","XA.CAN.03.03.3008.01.002",3327
"2020-11-22","XA.CAN.03.03.3008.01.002",3321
"2020-11-23","XA.CAN.03.03.3008.01.002",3321
"2020-11-24","XA.CAN.03.03.3008.01.002",3325
"2020-11-25","XA.CAN.03.03.3008.01.002",3326
"2020-11-26","XA.CAN.03.03.3008.01.002",3318
"2020-11-27","XA.CAN.03.03.3008.01.002",3318
"2020-11-28","XA.CAN.03.03.3008.01.002",3332
"2020-11-29","XA.CAN.03.03.3008.01.002",3317
"2020-11-30","XA.CAN.03.03.3008.01.002",3315
"2020-12-01","XA.CAN.03.03.3008.01.002",3312
"2020-12-02","XA.CAN.03.03.3008.01.002",3311
"2020-12-03","XA.CAN.03.03.3008.01.002",3315
"2020-12-04","XA.CAN.03.03.3008.01.002",3311
"2020-12-05","XA.CAN.03.03.3008.01.002",3314
"2020-12-06","XA.CAN.03.03.3008.01.002",3314
"2020-12-07","XA.CAN.03.03.3008.01.002",3312
"2020-12-08","XA.CAN.03.03.3008.01.002",3313
"2020-12-09","XA.CAN.03.03.3008.01.002",3313
"2020-12-10","XA.CAN.03.03.3008.01.002",3315
"2020-12-11","XA.CAN.03.03.3008.01.002",3317
"2020-12-12","XA.CAN.03.03.3008.01.002",3314
"2020-12-13","XA.CAN.03.03.3008.01.002",3312
"2020-12-14","XA.CAN.03.03.3008.01.002",3314
"2020-12-15","XA.CAN.03.03.3008.01.002",3314
"2020-12-16","XA.CAN.03.03.3008.01.002",3317
"2020-12-17","XA.CAN.03.03.3008.01.002",3323
"2020-12-18","XA.CAN.03.03.3008.01.002",3314
"2020-12-19","XA.CAN.03.03.3008.01.002",3314
"2020-12-20","XA.CAN.03.03.3008.01.002",3315
"2020-12-21","XA.CAN.03.03.3008.01.002",3311
"2020-12-22","XA.CAN.03.03.3008.01.002",3315
"2020-12-23","XA.CAN.03.03.3008.01.002",3320
"2020-12-24","XA.CAN.03.03.3008.01.002",3313
"2020-12-25","XA.CAN.03.03.3008.01.002",3320
"2020-12-26","XA.CAN.03.03.3008.01.002",3318
"2020-12-27","XA.CAN.03.03.3008.01.002",3322
"2020-12-28","XA.CAN.03.03.3008.01.002",3320
"2020-12-29","XA.CAN.03.03.3008.01.002",3315
"2020-12-30","XA.CAN.03.03.3008.01.002",3313
"2020-12-31","XA.CAN.03.03.3008.01.002",3310
"2021-01-01","XA.CAN.03.03.3008.01.002",3314
"2021-01-02","XA.CAN.03.03.3008.01.002",3312
"2021-01-03","XA.CAN.03.03.3008.01.002",3317
"2021-01-04","XA.CAN.03.03.3008.01.002",3315
"2021-01-05","XA.CAN.03.03.3008.01.002",3318
"2021-01-06","XA.CAN.03.03.3008.01.002",3322
"2021-01-07","XA.CAN.03.03.3008.01.002",3318
"2021-01-08","XA.CAN.03.03.3008.01.002",3317
"2021-01-09","XA.CAN.03.03.3008.01.002",3316
"2021-01-10","XA.CAN.03.03.3008.01.002",3318
"2021-01-11","XA.CAN.03.03.3008.01.002",3313
"2021-01-12","XA.CAN.03.03.3008.01.002",3319
"2021-01-13","XA.CAN.03.03.3008.01.002",3317
"2021-01-14","XA.CAN.03.03.3008.01.002",3321
"2021-01-15","XA.CAN.03.03.3008.01.002",3315
"2021-01-16","XA.CAN.03.03.3008.01.002",3319
"2021-01-17","XA.CAN.03.03.3008.01.002",3312
"2021-01-18","XA.CAN.03.03.3008.01.002",3318
"2021-01-19","XA.CAN.03.03.3008.01.002",3318
"2021-01-20","XA.CAN.03.03.3008.01.002",3320
"2021-01-21","XA.CAN.03.03.3008.01.002",3319
"2021-01-22","XA.CAN.03.03.3008.01.002",3317
"2021-01-23","XA.CAN.03.03.3008.01.002",3316
"2021-01-24","XA.CAN.03.03.3008.01.002",3320
