Site ID,Class,Subclass,Status,Name,Make,Model,Cabinet,U Position,Slot Position,IP Address,Serial Number,Type,Function,Contact,Contact Team,Customer,Mounting,Form Factor,Created By,Request Number,Request Stage,Created On,Origin,Notes,PowerIQ Object ID,Integration Status,VM Manager,VM Manager Integration Status,VMware Status Update Date,Customer Service,Technical Support,Account Number,Node Code,Planning Expiration
CU Guangzhou,Network,NetworkStack,Planned,G0000981,Arista Networks,DCS-7060SX2-48YC6-R,XA.CAN.03.03.3008.01.003,26,,,JPE19353030,,,,,,Rackable,Fixed,admin,,,01/29/2020 14:22:59-05,Import,,1917,,,,,,,,3008,
CU Wuhan,Network,NetworkStack,Planned,G0000982,Arista Networks,DCS-7060SX2-48YC6-R,XA.WUH.03.04.0404.01.003,26,,,JPE19352971,,,,,,Rackable,Fixed,lu_d_zhang,,,10/09/2020 22:33:13-04,Import,,4518,,,,,,,,404,
DR Peng Guangzhou,Network,NetworkStack,Planned,G0000983,Arista Networks,DCS-7280CR2A-30-F,XA.CAN.04.01.MD02.01.002,29,,,JPE19440079,,,,,,Rackable,Fixed,pei_ye,,,04/13/2020 03:46:57-04,Import,,27300,,,,,,,,MD02,
GDS,Network,NetworkStack,Planned,G0000984,Arista Networks,DCS-7280CR2A-30-F,XA.CTU.04.03.0301.01.001,29,,,JPE19440637,,,,,,Rackable,Fixed,lu_d_zhang,,,04/17/2020 04:29:39-04,Import,,27602,,,,,,,,301,
CM Guangzhou,Network,NetworkStack,Installed,G0000985,NOKIA,7750 SR-1s,XA.CAN.02.05.0504.01.002,4,,,NS1942F0108,,,,,,Rackable,Fixed,pei_ye,,,03/23/2020 04:50:12-04,Import,,2506,,,,,,,,504,
CM Wuhan,Network,NetworkStack,Planned,G0000986,Arista Networks,DCS-7280SR-48C6-F,XA.WUH.02.02.0205.01.001,27,,,JPE19492044,,,,,,Rackable,Fixed,lu_d_zhang,,,11/25/2020 04:32:29-05,Import,,27104,,,,,,,,205,
CM Beijing,Network,NetworkStack,Planned,G0000987,Arista Networks,DCS-7060SX2-48YC6-R,XA.BJS.02.02.2009.01.003,26,,,JPE18491562,,,,,,Rackable,Fixed,admin,,,01/29/2020 14:22:40-05,Import,,2262,,,,,,,,2009,
CM Wuhan,Network,NetworkStack,Planned,G0000999,Arista Networks,DCS-7280CR2A-30-F,XA.WUH.02.02.0205.01.002,15,,,JPE20413082,,,,,,Rackable,Fixed,lu_d_zhang,,,11/25/2020 04:33:51-05,Import,,27117,,,,,,,,205,
CT Chengdu,Network,NetworkStack,Planned,G0001001,Arista Networks,DCS-7280SR-48C6-F,XA.CTU.01.01.X1N1.01.001,27,,,SGD19492021,,,,,,Rackable,Fixed,lu_d_zhang,,,12/21/2020 21:01:27-05,Import,,27489,,,,,,,,X1N1,
GDS,Network,NetworkStack,Planned,G0001002,Arista Networks,DCS-7280CR2A-30-F,XA.CTU.04.03.0301.01.002,29,,,JPE19221935,,,,,,Rackable,Fixed,lu_d_zhang,,,04/17/2020 04:29:52-04,Import,,27601,,,,,,,,301,
CU Guangzhou,Network,NetworkStack,Planned,G0001003,Arista Networks,DCS-7280CR2A-30-F,XA.CAN.03.03.3008.01.002,29,,,JPE19221975,,,,,,Rackable,Fixed,admin,,,01/28/2020 15:16:13-05,Import,,1914,,,,,,,,3008,
